dteday,season,yr,mnth,weathersit,holiday,weekday,workingday,temp,hum,windspeed,variable,value,month
2011-01-01,springer,0,1,Berkabut,Tidak Libur,Sabtu,Bukan Hari Kerja,0.344167,0.805833,0.160446,casual,331,January
2011-01-02,springer,0,1,Berkabut,Tidak Libur,Minggu,Bukan Hari Kerja,0.363478,0.696087,0.248539,casual,131,January
2011-01-03,springer,0,1,Cerah,Tidak Libur,Senin,Hari Kerja,0.196364,0.437273,0.248309,casual,120,January
2011-01-04,springer,0,1,Cerah,Tidak Libur,Selasa,Hari Kerja,0.2,0.590435,0.160296,casual,108,January
2011-01-05,springer,0,1,Cerah,Tidak Libur,Rabu,Hari Kerja,0.226957,0.436957,0.1869,casual,82,January
2011-01-06,springer,0,1,Cerah,Tidak Libur,Kamis,Hari Kerja,0.204348,0.518261,0.0895652,casual,88,January
2011-01-07,springer,0,1,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.196522,0.498696,0.168726,casual,148,January
2011-01-08,springer,0,1,Berkabut,Tidak Libur,Sabtu,Bukan Hari Kerja,0.165,0.535833,0.266804,casual,68,January
2011-01-09,springer,0,1,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.138333,0.434167,0.36195,casual,54,January
2011-01-10,springer,0,1,Cerah,Tidak Libur,Senin,Hari Kerja,0.150833,0.482917,0.223267,casual,41,January
2011-01-11,springer,0,1,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.169091,0.686364,0.122132,casual,43,January
2011-01-12,springer,0,1,Cerah,Tidak Libur,Rabu,Hari Kerja,0.172727,0.599545,0.304627,casual,25,January
2011-01-13,springer,0,1,Cerah,Tidak Libur,Kamis,Hari Kerja,0.165,0.470417,0.301,casual,38,January
2011-01-14,springer,0,1,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.16087,0.537826,0.126548,casual,54,January
2011-01-15,springer,0,1,Berkabut,Tidak Libur,Sabtu,Bukan Hari Kerja,0.233333,0.49875,0.157963,casual,222,January
2011-01-16,springer,0,1,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.231667,0.48375,0.188433,casual,251,January
2011-01-17,springer,0,1,Berkabut,Libur,Senin,Bukan Hari Kerja,0.175833,0.5375,0.194017,casual,117,January
2011-01-18,springer,0,1,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.216667,0.861667,0.146775,casual,9,January
2011-01-19,springer,0,1,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.292174,0.741739,0.208317,casual,78,January
2011-01-20,springer,0,1,Berkabut,Tidak Libur,Kamis,Hari Kerja,0.261667,0.538333,0.195904,casual,83,January
2011-01-21,springer,0,1,Cerah,Tidak Libur,Jum'at,Hari Kerja,0.1775,0.457083,0.353242,casual,75,January
2011-01-22,springer,0,1,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.0591304,0.4,0.17197,casual,93,January
2011-01-23,springer,0,1,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.0965217,0.436522,0.2466,casual,150,January
2011-01-24,springer,0,1,Cerah,Tidak Libur,Senin,Hari Kerja,0.0973913,0.491739,0.15833,casual,86,January
2011-01-25,springer,0,1,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.223478,0.616957,0.129796,casual,186,January
2011-01-26,springer,0,1,Hujan Ringan,Tidak Libur,Rabu,Hari Kerja,0.2175,0.8625,0.29385,casual,34,January
2011-01-27,springer,0,1,Cerah,Tidak Libur,Kamis,Hari Kerja,0.195,0.6875,0.113837,casual,15,January
2011-01-28,springer,0,1,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.203478,0.793043,0.1233,casual,38,January
2011-01-29,springer,0,1,Cerah,Tidak Libur,Sabtu,Bukan Hari Kerja,0.196522,0.651739,0.145365,casual,123,January
2011-01-30,springer,0,1,Cerah,Tidak Libur,Minggu,Bukan Hari Kerja,0.216522,0.722174,0.0739826,casual,140,January
2011-01-31,springer,0,1,Berkabut,Tidak Libur,Senin,Hari Kerja,0.180833,0.60375,0.187192,casual,42,January
2011-02-01,springer,0,2,Berkabut,Tidak Libur,Selasa,Hari Kerja,0.192174,0.829565,0.053213,casual,47,February
2011-02-02,springer,0,2,Berkabut,Tidak Libur,Rabu,Hari Kerja,0.26,0.775417,0.264308,casual,72,February
2011-02-03,springer,0,2,Cerah,Tidak Libur,Kamis,Hari Kerja,0.186957,0.437826,0.277752,casual,61,February
2011-02-04,springer,0,2,Berkabut,Tidak Libur,Jum'at,Hari Kerja,0.211304,0.585217,0.127839,casual,88,February
2011-02-05,springer,0,2,Berkabut,Tidak Libur,Sabtu,Bukan Hari Kerja,0.233333,0.929167,0.161079,casual,100,February
